cell_name,annotation
167_106-0,Connective tissue
167_107-0,Connective tissue
167_114-0,Connective tissue
167_115-0,Connective tissue
167_116-0,Connective tissue
167_117-0,Connective tissue
167_118-0,Connective tissue
167_119-0,AGM
167_120-0,Liver
167_121-0,Liver
167_122-0,Liver
167_123-0,Liver
167_124-0,Liver
167_125-0,Liver
167_126-0,Liver
167_127-0,Liver
167_128-0,Liver
167_129-0,Liver
167_130-0,AGM
167_131-0,AGM
167_132-0,AGM
167_133-0,AGM
167_134-0,AGM
167_135-0,AGM
167_136-0,Sclerotome
167_137-0,Sclerotome
167_138-0,Sclerotome
167_139-0,Sclerotome
167_140-0,Sclerotome
167_141-0,Sclerotome
167_142-0,Sclerotome
167_143-0,Sclerotome
167_144-0,Sclerotome
167_145-0,Sclerotome
167_146-0,Dermomyotome
167_147-0,Dermomyotome
167_148-0,Mesenchyme
167_149-0,Mesenchyme
167_150-0,Mesenchyme
